Case,Size,Split
3,1412,Train
4,2980,Train
5,5841,Train
6,3624,Train
8,87939,Train
9,1912,Train
11,4348,Train
12,5695,Train
14,8836,Train
15,13896,Train
16,8000,Train
17,20512,Train
18,423792,Train
19,19943,Train
20,1973,Train
21,9008,Train
22,13829,Train
23,14240,Train
24,30456,Train
25,18588,Train
26,976,Train
28,28384,Train
30,21848,Train
32,2572,Train
35,70304,Train
40,30864,Train
41,4108,Train
42,28332,Train
43,150188,Train
44,19196,Train
45,155,Train
46,5653,Train
47,3021,Train
50,8960,Train
51,133436,Train
52,21272,Train
53,24846,Train
54,5440,Train
55,151624,Train
58,14949,Train
60,8107,Train
61,2309,Train
62,3020,Train
63,50664,Train
65,168848,Train
66,42932,Train
67,27712,Train
68,2304,Train
69,10798,Train
72,15145,Train
73,14032,Train
74,10160,Train
75,13084,Train
76,5954,Train
77,4296,Train
78,14222,Train
79,17375,Train
80,13696,Train
81,30100,Train
82,20173,Train
83,1524,Train
85,2150,Train
86,31632,Train
87,10840,Train
88,11836,Train
89,350924,Train
90,1922,Train
92,24201,Train
94,10960,Train
96,4604,Train
97,16452,Train
98,11114,Train
101,5964,Train
102,2833,Train
103,43020,Train
105,20229,Train
106,5728,Train
107,8799,Train
108,31332,Train
109,6732,Train
111,7487,Train
112,4612,Train
113,6400,Train
114,3377,Train
116,1616,Train
117,98116,Train
120,4128,Train
121,11170,Train
123,14384,Train
124,12976,Train
125,23380,Train
127,404,Train
128,39634,Train
129,15904,Train
132,7872,Train
133,49195,Train
134,17237,Train
136,31156,Train
137,10483,Train
138,94601,Train
139,18222,Train
140,18244,Train
142,3632,Train
143,28136,Train
144,12440,Train
146,26819,Train
151,22168,Train
153,48239,Train
155,25296,Train
156,17302,Train
157,63298,Train
158,7204,Train
162,2526,Train
165,6776,Train
166,6160,Train
167,4233,Train
168,5840,Train
171,3435,Train
174,1122256,Train
175,2424,Train
176,1336,Train
178,8370,Train
181,58360,Train
183,45853,Train
185,11919,Train
186,5404,Train
187,10223,Train
189,216372,Train
190,15424,Train
191,6630,Train
193,9167,Train
194,21686,Train
195,13600,Train
198,33558,Train
202,31179,Train
205,6656,Train
206,4260,Train
207,4176,Train
208,4088,Train
209,453719,Train
211,7899,Train
212,4998,Train
213,146880,Train
214,96404,Train
216,10421,Train
220,24738,Train
222,5268,Train
223,11456,Train
224,18656,Train
225,324,Train
228,264,Train
229,2396,Train
231,58048,Train
232,6320,Train
233,14739,Train
238,5254,Train
239,5052,Train
240,9311,Train
242,1999,Train
243,10150,Train
244,6860,Train
245,12644,Train
247,19996,Train
248,3545,Train
250,16400,Train
251,42211,Train
253,5648,Train
254,7780,Train
255,3772,Train
259,4532,Train
260,6765,Train
262,22135,Train
267,124645,Train
269,37544,Train
271,8496,Train
272,40527,Train
273,12300,Train
274,12932,Train
275,5796,Train
279,48243,Train
280,5574,Train
282,6143,Train
284,6419,Train
286,35109,Train
287,15463,Train
289,11469,Train
291,30811,Train
292,4053,Train
293,7812,Train
294,9387,Train
295,11296,Train
297,6183,Train
299,33379,Train
300,24500,Train
302,9700,Train
304,29516,Train
305,5323,Train
307,74176,Train
308,15815,Train
309,69176,Train
310,13865,Train
311,30380,Train
314,106352,Train
315,2004,Train
316,3145,Train
318,39328,Train
319,4004,Train
321,15544,Train
322,2460,Train
323,12628,Train
326,30804,Train
327,10016,Train
330,64916,Train
331,86808,Train
332,526,Train
333,30913,Train
334,20832,Train
335,7649,Train
336,10668,Train
338,13288,Train
343,15796,Train
344,34324,Train
346,5252,Train
347,86752,Train
348,8204,Train
351,51748,Train
352,9556,Train
353,5397,Train
356,3200,Train
357,12364,Train
358,65776,Train
359,8791,Train
360,9212,Train
363,90523,Train
365,17662,Train
366,3702,Train
367,3328,Train
368,12248,Train